iso,name_en,bbox
LVA,Latvia,58.2/20.5/55.6/28.3
MAR,Morocco,36.1/-17.3/21.2/-0.9
MCO,Monaco,43.9/7.3/43.4/7.6
MDA,Moldova,48.6/26.5/45.4/30.3
MDG,Madagascar,-11.6/42.9/-25.9/50.8
MDV,Maldives,7.4/72.3/-1.0/74.1
MEX,Mexico,32.8/-118.7/14.3/-86.4
MHL,Marshall Islands,15.0/160.5/4.3/172.5
MKD,North Macedonia,42.5/20.4/40.8/23.1
MLI,Mali,25.1/-12.3/10.0/4.4
MLT,Malta,36.4/13.8/35.5/14.9
MMR,Myanmar,28.6/92.1/9.3/101.3
MNE,Montenegro,43.7/18.3/41.6/20.5
MNG,Mongolia,52.2/87.6/41.5/120.0
MOZ,Mozambique,-10.2/30.1/-27.0/41.2
MRT,Mauritania,27.4/-17.3/14.6/-4.7
MSR,Montserrat,17.0/-62.6/16.4/-61.8
MUS,Mauritius,-10.0/56.3/-20.8/63.8
MWI,Malawi,-9.3/32.6/-17.2/36.0
MYS,Malaysia,7.8/98.6/0.8/119.7
NAM,Namibia,-16.9/11.4/-29.1/25.4
NER,Niger,23.6/0.1/11.6/16.1
NGA,Nigeria,14.0/2.6/4.0/14.8
NIC,Nicaragua,15.2/-88.0/10.6/-82.4
NIU,Niue,-18.7/-170.3/-19.5/-169.5
NLD,Netherlands,53.8/-70.4/11.7/7.3
NOR,Norway,81.1/-9.8/-54.8/34.8
NPL,Nepal,30.5/80.0/26.2/88.3
NRU,Nauru,-0.2/166.6/-0.9/167.3
NZL,New Zealand,-28.9/-179.2/-52.9/179.5
OMN,Oman,26.8/51.9/16.4/60.2
PAK,Pakistan,37.2/60.8/23.3/77.2
PAN,Panama,9.9/-83.2/6.9/-77.1
PCN,Pitcairn Islands,-23.6/-131.1/-25.4/-124.5
PER,Peru,0.1/-84.7/-20.3/-68.6
PHL,Philippines,21.4/114.0/4.1/126.9
PLW,Palau,8.5/130.8/2.5/135.0
PNG,Papua New Guinea,-0.5/140.7/-12.0/159.8
POL,Poland,55.1/14.0/48.9/24.2
PRK,North Korea,43.1/124.0/37.5/131.0
PRT,Portugal,42.3/-31.7/29.7/-6.1
PRY,Paraguay,-19.2/-62.7/-27.7/-54.2
QAT,Qatar,26.5/50.5/24.4/52.7
ROU,Romania,48.4/20.2/43.5/30.1
RUS,Russia,82.2/-180.1/41.1/180.1
RWA,Rwanda,-0.9/28.8/-2.9/31.0
SAU,Saudi Arabia,32.3/34.4/16.2/55.8
SDN,Sudan,22.3/21.7/8.6/39.2
SEN,Senegal,16.8/-17.8/12.1/-11.2
SGP,Singapore,1.6/103.4/1.0/104.7
SGS,South Georgia and the South Sandwich Islands,-53.2/-42.5/-59.8/-25.8
SHN,"Saint Helena, Ascension and Tristan da Cunha",-7.6/-14.7/-40.7/-5.3
SLB,Solomon Islands,-4.7/155.2/-13.3/170.5
SLE,Sierra Leone,10.1/-13.6/6.7/-10.2
SLV,El Salvador,14.6/-90.3/12.9/-87.5
SMR,San Marino,44.1/12.3/43.8/12.6
SOM,Somalia,12.3/40.9/-1.9/51.7
SRB,Serbia,46.3/18.7/42.1/23.1
SSD,South Sudan,12.3/23.3/3.4/36.0
STP,São Tomé and Príncipe,2.0/6.2/-0.3/7.8
SUR,Suriname,6.3/-58.2/1.7/-53.8
SVK,Slovakia,49.7/16.7/47.6/22.7
SVN,Slovenia,47.0/13.3/45.3/16.7
SWE,Sweden,69.2/10.5/55.0/24.3
SWZ,Eswatini,-25.6/30.7/-27.4/32.2
SYC,Seychelles,-3.4/45.9/-10.6/56.6
SYR,Syria,37.4/35.4/32.2/42.5
TCA,Turks and Caicos Islands,22.3/-72.8/20.9/-70.8
TCD,Chad,23.6/13.4/7.3/24.1
